rodzaj-testu;n;f(x);ilosc oligonuklotydow;procentowo
testy\poz-los\10.500+200;509;1297;405;81
testy\poz-los\10.500+200;509;1297;405;81
testy\poz-los\10.500+200;509;1297;405;81
testy\poz-los\10.500+200;509;1297;405;81
testy\poz-los\10.500+200;509;1287;405;81
testy\poz-los\10.500+200;509;1278;405;81
testy\poz-los\10.500+200;509;1276;405;81
testy\poz-los\10.500+200;509;1277;405;81
testy\poz-los\10.500+200;509;1272;405;81
testy\poz-los\10.500+200;509;1273;405;81
testy\poz-los\18.200+80;209;571;159;79
testy\poz-los\18.200+80;209;576;159;79
testy\poz-los\18.200+80;209;572;160;80
testy\poz-los\18.200+80;209;583;160;80
testy\poz-los\18.200+80;209;565;160;80
testy\poz-los\18.200+80;209;569;160;80
testy\poz-los\18.200+80;209;565;160;80
testy\poz-los\18.200+80;209;565;160;80
testy\poz-los\18.200+80;209;565;160;80
testy\poz-los\18.200+80;209;565;160;80
testy\poz-los\20.300+120;309;802;272;90
testy\poz-los\20.300+120;309;816;266;88
testy\poz-los\20.300+120;309;816;266;88
testy\poz-los\20.300+120;309;802;272;90
testy\poz-los\20.300+120;309;798;272;90
testy\poz-los\20.300+120;309;797;272;90
testy\poz-los\20.300+120;309;797;272;90
testy\poz-los\20.300+120;309;799;272;90
testy\poz-los\20.300+120;309;796;272;90
testy\poz-los\20.300+120;309;796;272;90
testy\poz-los\25.500+200;509;1229;471;94
testy\poz-los\25.500+200;509;1229;471;94
testy\poz-los\25.500+200;509;1238;465;93
testy\poz-los\25.500+200;509;1226;471;94
testy\poz-los\25.500+200;509;1225;471;94
testy\poz-los\25.500+200;509;1219;471;94
testy\poz-los\25.500+200;509;1219;471;94
testy\poz-los\25.500+200;509;1218;471;94
testy\poz-los\25.500+200;509;1218;471;94
testy\poz-los\25.500+200;509;1218;471;94
testy\poz-los\35.200+80;209;583;160;80
testy\poz-los\35.200+80;209;583;160;80
testy\poz-los\35.200+80;209;582;160;80
testy\poz-los\35.200+80;209;575;160;80
testy\poz-los\35.200+80;209;571;160;80
testy\poz-los\35.200+80;209;570;160;80
testy\poz-los\35.200+80;209;570;160;80
testy\poz-los\35.200+80;209;570;160;80
testy\poz-los\35.200+80;209;570;160;80
testy\poz-los\35.200+80;209;570;160;80
testy\poz-los\53.500+200;509;1190;464;92
testy\poz-los\53.500+200;509;1190;464;92
testy\poz-los\53.500+200;509;1190;464;92
testy\poz-los\53.500+200;509;1188;464;92
testy\poz-los\53.500+200;509;1182;464;92
testy\poz-los\53.500+200;509;1176;464;92
testy\poz-los\53.500+200;509;1176;464;92
testy\poz-los\53.500+200;509;1176;464;92
testy\poz-los\53.500+200;509;1176;464;92
testy\poz-los\53.500+200;509;1176;464;92
testy\poz-los\55.300+120;309;825;242;80
testy\poz-los\55.300+120;309;837;242;80
testy\poz-los\55.300+120;309;842;242;80
testy\poz-los\55.300+120;309;825;242;80
testy\poz-los\55.300+120;309;821;242;80
testy\poz-los\55.300+120;309;821;242;80
testy\poz-los\55.300+120;309;821;242;80
testy\poz-los\55.300+120;309;821;242;80
testy\poz-los\55.300+120;309;821;242;80
testy\poz-los\55.300+120;309;821;242;80
testy\poz-los\55.400+160;409;1051;356;89
testy\poz-los\55.400+160;409;1051;356;89
testy\poz-los\55.400+160;409;1051;356;89
testy\poz-los\55.400+160;409;1051;356;89
testy\poz-los\55.400+160;409;1048;356;89
testy\poz-los\55.400+160;409;1045;356;89
testy\poz-los\55.400+160;409;1045;356;89
testy\poz-los\55.400+160;409;1045;356;89
testy\poz-los\55.400+160;409;1045;356;89
testy\poz-los\55.400+160;409;1045;356;89
testy\poz-los\58.300+120;309;780;289;96
testy\poz-los\58.300+120;309;780;289;96
testy\poz-los\58.300+120;309;780;290;96
testy\poz-los\58.300+120;309;775;290;96
testy\poz-los\58.300+120;309;774;290;96
testy\poz-los\58.300+120;309;774;290;96
testy\poz-los\58.300+120;309;768;290;96
testy\poz-los\58.300+120;309;768;290;96
testy\poz-los\58.300+120;309;768;290;96
testy\poz-los\58.300+120;309;765;290;96
testy\poz-los\62.400+160;409;1015;383;95
testy\poz-los\62.400+160;409;1015;383;95
testy\poz-los\62.400+160;409;1015;383;95
testy\poz-los\62.400+160;409;1011;383;95
testy\poz-los\62.400+160;409;1006;383;95
testy\poz-los\62.400+160;409;1005;383;95
testy\poz-los\62.400+160;409;1001;383;95
testy\poz-los\62.400+160;409;1001;383;95
testy\poz-los\62.400+160;409;1000;383;95
testy\poz-los\62.400+160;409;1000;383;95
testy\poz-los\68.400+160;409;1019;373;93
testy\poz-los\68.400+160;409;1019;373;93
testy\poz-los\68.400+160;409;1017;373;93
testy\poz-los\68.400+160;409;1016;373;93
testy\poz-los\68.400+160;409;1010;373;93
testy\poz-los\68.400+160;409;1002;373;93
testy\poz-los\68.400+160;409;1002;373;93
testy\poz-los\68.400+160;409;1002;373;93
testy\poz-los\68.400+160;409;1002;373;93
testy\poz-los\68.400+160;409;1002;373;93
testy\poz-los\9.200+80;209;539;183;91
testy\poz-los\9.200+80;209;540;183;91
testy\poz-los\9.200+80;209;536;183;91
testy\poz-los\9.200+80;209;532;183;91
testy\poz-los\9.200+80;209;532;183;91
testy\poz-los\9.200+80;209;532;182;91
testy\poz-los\9.200+80;209;531;182;91
testy\poz-los\9.200+80;209;531;182;91
testy\poz-los\9.200+80;209;531;182;91
testy\poz-los\9.200+80;209;531;182;91
