rodzaj-testu;n;f(x);ilosc oligonuklotydow;procentowo
testy\neg-los\10.500-100;509;238;374;93
testy\neg-los\10.500-100;509;282;352;88
testy\neg-los\10.500-100;509;234;374;93
testy\neg-los\10.500-100;509;222;375;93
testy\neg-los\10.500-100;509;221;375;93
testy\neg-los\10.500-100;509;221;375;93
testy\neg-los\10.500-100;509;221;375;93
testy\neg-los\10.500-100;509;221;375;93
testy\neg-los\10.500-100;509;221;375;93
testy\neg-los\10.500-100;509;221;375;93
testy\neg-los\10.500-200;509;363;288;96
testy\neg-los\10.500-200;509;363;289;96
testy\neg-los\10.500-200;509;345;290;96
testy\neg-los\10.500-200;509;345;290;96
testy\neg-los\10.500-200;509;345;289;96
testy\neg-los\10.500-200;509;345;289;96
testy\neg-los\10.500-200;509;345;289;96
testy\neg-los\10.500-200;509;345;289;96
testy\neg-los\10.500-200;509;345;289;96
testy\neg-los\10.500-200;509;345;289;96
testy\neg-los\18.200-40;209;92;151;94
testy\neg-los\18.200-40;209;77;154;96
testy\neg-los\18.200-40;209;90;155;96
testy\neg-los\18.200-40;209;77;154;96
testy\neg-los\18.200-40;209;77;154;96
testy\neg-los\18.200-40;209;77;154;96
testy\neg-los\18.200-40;209;77;154;96
testy\neg-los\18.200-40;209;77;154;96
testy\neg-los\18.200-40;209;77;154;96
testy\neg-los\18.200-40;209;77;154;96
testy\neg-los\18.200-80;209;208;108;90
testy\neg-los\18.200-80;209;207;108;90
testy\neg-los\18.200-80;209;156;111;92
testy\neg-los\18.200-80;209;156;110;91
testy\neg-los\18.200-80;209;156;110;91
testy\neg-los\18.200-80;209;156;110;91
testy\neg-los\18.200-80;209;156;110;91
testy\neg-los\18.200-80;209;156;110;91
testy\neg-los\18.200-80;209;156;110;91
testy\neg-los\18.200-80;209;156;110;91
testy\neg-los\20.300-120;309;236;170;94
testy\neg-los\20.300-120;309;242;171;95
testy\neg-los\20.300-120;309;198;176;97
testy\neg-los\20.300-120;309;198;176;97
testy\neg-los\20.300-120;309;198;176;97
testy\neg-los\20.300-120;309;198;176;97
testy\neg-los\20.300-120;309;198;176;97
testy\neg-los\20.300-120;309;198;176;97
testy\neg-los\20.300-120;309;198;176;97
testy\neg-los\20.300-120;309;198;176;97
testy\neg-los\20.300-60;309;127;233;97
testy\neg-los\20.300-60;309;127;233;97
testy\neg-los\20.300-60;309;113;233;97
testy\neg-los\20.300-60;309;113;233;97
testy\neg-los\20.300-60;309;113;233;97
testy\neg-los\20.300-60;309;113;233;97
testy\neg-los\20.300-60;309;113;233;97
testy\neg-los\20.300-60;309;113;233;97
testy\neg-los\20.300-60;309;113;233;97
testy\neg-los\20.300-60;309;113;233;97
testy\neg-los\25.500-100;509;196;386;96
testy\neg-los\25.500-100;509;215;385;96
testy\neg-los\25.500-100;509;181;390;97
testy\neg-los\25.500-100;509;174;393;98
testy\neg-los\25.500-100;509;174;393;98
testy\neg-los\25.500-100;509;174;393;98
testy\neg-los\25.500-100;509;174;393;98
testy\neg-los\25.500-100;509;174;393;98
testy\neg-los\25.500-100;509;174;393;98
testy\neg-los\25.500-100;509;174;393;98
testy\neg-los\25.500-200;509;401;278;92
testy\neg-los\25.500-200;509;389;277;92
