rodzaj-testu;n;f(x);ilosc oligonuklotydow;procentowo
testy\neg-pow\113.500-8;509;91;455;92
testy\neg-pow\113.500-8;509;91;455;92
testy\neg-pow\113.500-8;509;85;461;93
testy\neg-pow\113.500-8;509;75;461;93
testy\neg-pow\113.500-8;509;75;461;93
testy\neg-pow\113.500-8;509;75;461;93
testy\neg-pow\113.500-8;509;75;460;93
testy\neg-pow\113.500-8;509;75;460;93
testy\neg-pow\113.500-8;509;75;460;93
testy\neg-pow\113.500-8;509;75;460;93
testy\neg-pow\144.500-12;509;46;482;98
testy\neg-pow\144.500-12;509;34;484;99
testy\neg-pow\144.500-12;509;28;487;99
testy\neg-pow\144.500-12;509;28;487;99
testy\neg-pow\144.500-12;509;28;487;99
testy\neg-pow\144.500-12;509;28;487;99
testy\neg-pow\144.500-12;509;28;487;99
testy\neg-pow\144.500-12;509;28;487;99
testy\neg-pow\144.500-12;509;28;487;99
testy\neg-pow\144.500-12;509;28;487;99
testy\neg-pow\28.500-18;509;58;476;98
testy\neg-pow\28.500-18;509;80;468;97
testy\neg-pow\28.500-18;509;42;481;99
testy\neg-pow\28.500-18;509;35;481;99
testy\neg-pow\28.500-18;509;35;481;99
testy\neg-pow\28.500-18;509;35;481;99
testy\neg-pow\28.500-18;509;35;481;99
testy\neg-pow\28.500-18;509;35;481;99
testy\neg-pow\28.500-18;509;35;481;99
testy\neg-pow\28.500-18;509;35;481;99
testy\neg-pow\34.500-32;509;115;448;95
testy\neg-pow\34.500-32;509;115;448;95
testy\neg-pow\34.500-32;509;114;448;95
testy\neg-pow\34.500-32;509;96;453;96
testy\neg-pow\34.500-32;509;88;455;97
testy\neg-pow\34.500-32;509;87;455;97
testy\neg-pow\34.500-32;509;87;455;97
testy\neg-pow\34.500-32;509;87;455;97
testy\neg-pow\34.500-32;509;87;455;97
testy\neg-pow\34.500-32;509;87;455;97
testy\neg-pow\59.500-2;509;115;448;89
testy\neg-pow\59.500-2;509;126;453;90
testy\neg-pow\59.500-2;509;116;455;91
testy\neg-pow\59.500-2;509;90;456;91
testy\neg-pow\59.500-2;509;90;458;91
testy\neg-pow\59.500-2;509;88;456;91
testy\neg-pow\59.500-2;509;88;456;91
testy\neg-pow\59.500-2;509;88;456;91
testy\neg-pow\59.500-2;509;88;456;91
testy\neg-pow\59.500-2;509;88;456;91
